Source,Target,type,Label,weight
l001,A001,direct,*Affreville - Archives du ministère des Affaires étrangères,1
l002,A001,direct,*Aïn el Turck - Archives du ministère des Affaires étrangères,1
l003,A001,direct,*Aïn Temouchent - Archives du ministère des Affaires étrangères,2
l004,A001,direct,*Alger - Archives du ministère des Affaires étrangères,40
l005,A001,direct,*Arcole-Valmy - Archives du ministère des Affaires étrangères,1
l006,A001,direct,*Arzew - Archives du ministère des Affaires étrangères,3
l007,A001,direct,*Attafs - Archives du ministère des Affaires étrangères,1
l008,A001,direct,*Baraki - Archives du ministère des Affaires étrangères,1
l009,A001,direct,*Bel-Abbès - Archives du ministère des Affaires étrangères,1
l010,A001,direct,*Blida - Archives du ministère des Affaires étrangères,1
l011,A001,direct,*Bou Hanifia - Archives du ministère des Affaires étrangères,2
l012,A001,direct,*Bou Tlelis - Archives du ministère des Affaires étrangères,1
l013,A001,direct,*Boudjebaa - Archives du ministère des Affaires étrangères,1
l014,A001,direct,*Bougie - Archives du ministère des Affaires étrangères,2
l015,A001,direct,*Cassaigne - Archives du ministère des Affaires étrangères,3
l016,A001,direct,*Chebli - Archives du ministère des Affaires étrangères,1
l017,A001,direct,*Dar Beida - Archives du ministère des Affaires étrangères,1
l018,A001,direct,*Djelfa - Archives du ministère des Affaires étrangères,2
l019,A001,direct,*El Achour - Archives du ministère des Affaires étrangères,1
l020,A001,direct,*Fleurus - Archives du ministère des Affaires étrangères,1
l021,A001,direct,*Fort-de-l'Eau - Archives du ministère des Affaires étrangères,1
l022,A001,direct,*Guelta - Archives du ministère des Affaires étrangères,1
l023,A001,direct,*Hussein Dey - Archives du ministère des Affaires étrangères,2
l024,A001,direct,*Inkermann - Archives du ministère des Affaires étrangères,1
l025,A001,direct,*Kouba - Archives du ministère des Affaires étrangères,3
l026,A001,direct,*Laghouat - Archives du ministère des Affaires étrangères,1
l027,A001,direct,*M'Sila - Archives du ministère des Affaires étrangères,1
l028,A001,direct,*Maison-Blanche - Archives du ministère des Affaires étrangères,1
l029,A001,direct,*Médéa (ex département d'Alger) - Archives du ministère des Affaires étrangères,2
l030,A001,direct,*Misserghin - Archives du ministère des Affaires étrangères,3
l032,A001,direct,*Mostaganem - Archives du ministère des Affaires étrangères,2
l033,A001,direct,*oasis saharienne - Archives du ministère des Affaires étrangères,1
l034,A001,direct,*Oran - Archives du ministère des Affaires étrangères,12
l035,A001,direct,*Orléansville - Archives du ministère des Affaires étrangères,2
l036,A001,direct,*Parmentier - Archives du ministère des Affaires étrangères,1
l037,A001,direct,*Perrégaux - Archives du ministère des Affaires étrangères,1
l039,A001,direct,*Pérrégaux - Archives du ministère des Affaires étrangères,3
