id,label,value,group,lat,lng,archives
l001,*Affreville,1,ville,36.26104,2.22015,Archives du ministère des Affaires étrangères
l002,*Aïn el Turck,1,ville,35.74381,-0.7693,Archives du ministère des Affaires étrangères
l003,*Aïn Temouchent,2,ville,35.2906474,-1.1399469,Archives du ministère des Affaires étrangères
l004,*Alger,40,ville,36.73225,3.08746,Archives du ministère des Affaires étrangères
l005,*Arcole-Valmy,1,ville,35.7255421,-0.5403103,Archives du ministère des Affaires étrangères
l006,*Arzew,3,ville,35.8487793,-0.3173591,Archives du ministère des Affaires étrangères
l007,*Attafs,1,ville,36.22393,1.67187,Archives du ministère des Affaires étrangères
l008,*Baraki,1,ville,36.66655,3.09606,Archives du ministère des Affaires étrangères
l009,*Bel-Abbès,1,ville,36.23246,1.65207,Archives du ministère des Affaires étrangères
l010,*Blida,1,ville,36.478974,2.8043767,Archives du ministère des Affaires étrangères
l011,*Bou Hanifia,2,ville,35.31473,-0.05037,Archives du ministère des Affaires étrangères
l012,*Bou Tlelis,1,ville,35.57272,-0.8996,Archives du ministère des Affaires étrangères
l013,*Boudjebaa,1,ville,35.34988,-0.33241,Archives du ministère des Affaires étrangères
l014,*Bougie,2,ville,36.75587,5.08433,Archives du ministère des Affaires étrangères
l015,*Cassaigne,3,ville,36.100133,0.4190568,Archives du ministère des Affaires étrangères
l016,*Chebli,1,ville,36.5771437,3.0078872,Archives du ministère des Affaires étrangères
l017,*Dar Beida,1,ville,36.1638413,4.5653967,Archives du ministère des Affaires étrangères
l018,*Djelfa,2,ville,34.668632,3.2488908,Archives du ministère des Affaires étrangères
l019,*El Achour,1,ville,36.7357259,2.988525,Archives du ministère des Affaires étrangères
l020,*Fleurus,1,ville,35.7120023,-0.4428921,Archives du ministère des Affaires étrangères
l021,*Fort-de-l'Eau,1,ville,36.74871,3.19249,Archives du ministère des Affaires étrangères
l022,*Guelta,1,ville,28.77152,9.19552,Archives du ministère des Affaires étrangères
l023,*Hussein Dey,2,ville,36.7411629,3.095426,Archives du ministère des Affaires étrangères
l024,*Inkermann,1,ville,35.96124,0.91896,Archives du ministère des Affaires étrangères
l025,*Kouba,3,ville,36.7282636,3.0811738,Archives du ministère des Affaires étrangères
l026,*Laghouat,1,ville,33.8,2.86514,Archives du ministère des Affaires étrangères
l027,*M'Sila,1,ville,35.7132288,4.5314917,Archives du ministère des Affaires étrangères
l028,*Maison-Blanche,1,ville,36.7145399,3.2148185,Archives du ministère des Affaires étrangères
l029,*Médéa (ex département d'Alger),2,ville,36.26417,2.75393,Archives du ministère des Affaires étrangères
l030,*Misserghin,3,ville,35.6154571,-0.7356006,Archives du ministère des Affaires étrangères
l032,*Mostaganem,2,ville,35.93115,0.08918,Archives du ministère des Affaires étrangères
l033,*oasis saharienne,1,ville,26.1766378722,1.7468388699,Archives du ministère des Affaires étrangères
l034,*Oran,12,ville,35.69906,-0.63588,Archives du ministère des Affaires étrangères
l035,*Orléansville,2,ville,36.16525,1.33452,Archives du ministère des Affaires étrangères
l036,*Parmentier,1,ville,35.1028,-0.83034,Archives du ministère des Affaires étrangères
l037,*Perrégaux,1,ville,35.58861,0.06861,Archives du ministère des Affaires étrangères
l039,*Pérrégaux,3,ville,35.58861,0.06861,Archives du ministère des Affaires étrangères
l040,*Raz el Aïn,1,ville,35.6969201,-0.6574327,Archives du ministère des Affaires étrangères
l041,*Saïda,1,ville,34.83033,0.15171,Archives du ministère des Affaires étrangères
l042,*Saint-Ferdinand,1,ville,36.70828,2.91258,Archives du ministère des Affaires étrangères
l043,*Sidi Aïch,1,ville,36.6392342473,4.6933694384,Archives du ministère des Affaires étrangères
l044,*Sidi Bel Abbès,3,ville,35.18994,-0.63085,Archives du ministère des Affaires étrangères
l045,*Sidi Chami,1,ville,35.6626156,-0.5198427,Archives du ministère des Affaires étrangères
l046,*Sidi Moussa,1,ville,36.6034933,3.0899394,Archives du ministère des Affaires étrangères
l047,*Souk el Haad,1,ville,36.67294,3.80647,Archives du ministère des Affaires étrangères
l048,*Tafaraoui,1,ville,35.48542,-0.52728,Archives du ministère des Affaires étrangères
l049,*Tiaret (ex département d'Oran),1,ville,35.3700219,1.322746,Archives du ministère des Affaires étrangères
l050,*Tizi Ouzou (ex département d'Alger),3,ville,36.7146024,4.0457099,Archives du ministère des Affaires étrangères
l051,*Valmy (ex département d'Oran),4,ville,35.60879,-0.57389,Archives du ministère des Affaires étrangères
l052,*Vialar,5,ville,35.60722,1.81081,Archives du ministère des Affaires étrangères
l053,*Ziama,1,ville,36.67324,5.48119,Archives du ministère des Affaires étrangères
l054,Aboukir,1,ville,35.83796,0.16838,Archives du ministère des Affaires étrangères
